age,sex,orientation,body_type,diet,drinks,drugs,education,job,offspring,pets,religion,sign,smokes,Match.age,Match.sex,Match.orientation,Match.body_type,Match.diet,Match.drinks,Match.drugs,Match.education,Match.job,Match.offspring,Match.pets,Match.religion,Match.sign,Match.smokes,scores
22,m,straight,athletic,mostly anything,socially,never,working on college/university,student,,,,libra,no,22,f,straight,average,anything,socially,never,in college,student,,likes dogs,other,libra,no,76.92
35,m,gay,average,,,never,,,,,,leo,no,35,m,gay,average,anything,,never,graduated college,,,,other,scorpio,no,100.0
24,f,bisexual,curvy,mostly vegetarian,socially,,graduated from space camp,student,doesn't want kids,likes dogs and likes cats,,leo,sometimes,24,f,bisexual,average,anything,socially,,graduated college,student,,likes dogs and likes cats,judaism,cancer,sometimes,71.43
53,m,straight,athletic,mostly vegetarian,socially,,graduated from college/university,political / government,"doesn't have kids, but wants them",likes dogs and likes cats,atheism and laughing about it,capricorn and its fun to think about,no,24,f,straight,fit,vegetarian,socially,,in college,sales / marketing / biz dev,,,other,capricorn,no,40.0
20,m,straight,skinny,mostly anything,socially,never,working on college/university,student,doesn't have kids,,,scorpio,no,20,f,straight,thin,anything,socially,never,in college,student,,likes dogs,other,scorpio,no,71.43
37,m,straight,athletic,strictly anything,often,sometimes,graduated from college/university,sales / marketing / biz dev,doesn't have kids,has dogs,atheism and laughing about it,virgo and its fun to think about,no,36,f,straight,fit,anything,often,sometimes,in college,sales / marketing / biz dev,,has dogs,other,pisces,no,53.33
45,m,straight,average,,socially,,graduated from college/university,entertainment / media,doesn't have kids,likes dogs and likes cats,other and laughing about it,,,27,f,straight,average,anything,socially,,in college,,doesn't have kids,likes dogs and likes cats,other,aquarius,,66.67
20,m,gay,thin,,socially,never,working on college/university,sales / marketing / biz dev,,likes dogs and likes cats,agnosticism,gemini and its fun to think about,,20,m,gay,average,anything,socially,never,in college,,,,agnostic,gemini,when drinking,61.54
29,f,straight,average,mostly vegetarian,socially,never,working on masters program,education / academia,"doesn't have kids, but wants them",,judaism and somewhat serious about it,aries,no,31,m,straight,average,vegetarian,socially,never,graduated college,education / academia,,,judaism,capricorn,no,60.0
37,m,gay,fit,mostly anything,rarely,never,graduated from masters program,artistic / musical / writer,,,,aquarius but it doesn't matter,no,28,m,gay,average,anything,rarely,never,graduated college,,,,other,aquarius,no,61.54
26,m,straight,fit,vegetarian,socially,,working on med school,student,,,agnosticism,taurus,,26,f,straight,average,vegetarian,socially,never,graduated college,student,,,agnostic,aries,no,66.67
29,m,gay,fit,,socially,never,graduated from college/university,other,,likes dogs and likes cats,atheism and very serious about it,scorpio but it doesn't matter,no,29,m,gay,average,anything,socially,never,in college,other,,likes dogs and has cats,other,scorpio,no,71.43
43,m,straight,,,socially,,working on masters program,,,,,sagittarius,no,43,f,straight,average,anything,socially,never,graduated college,education / academia,,,other,sagittarius,no,88.89
27,m,straight,athletic,mostly anything,socially,never,graduated from college/university,medicine / health,,likes dogs and likes cats,christianity but not too serious about it,leo but it doesn't matter,no,27,f,straight,average,anything,socially,never,in college,medicine / health,,likes dogs and likes cats,christian,leo,no,66.67
41,f,straight,average,mostly anything,socially,never,graduated from college/university,entertainment / media,,has dogs and likes cats,,capricorn but it doesn't matter,no,41,m,straight,average,anything,socially,never,in college,entertainment / media,,,other,capricorn,no,71.43
22,m,straight,fit,anything,often,sometimes,working on college/university,student,doesn't have kids,likes dogs,other,virgo,no,22,f,straight,average,anything,often,sometimes,in college,student,,,other,aquarius,,60.0
29,m,straight,thin,mostly anything,socially,never,working on college/university,construction / craftsmanship,,likes dogs and likes cats,agnosticism and laughing about it,leo but it doesn't matter,sometimes,29,f,straight,average,anything,socially,never,in college,student,,likes dogs and likes cats,agnostic,gemini,sometimes,60.0
29,m,gay,a little extra,,socially,never,graduated from masters program,student,,likes dogs and has cats,atheism and laughing about it,capricorn but it doesn't matter,no,29,m,gay,curvy,anything,socially,,graduated college,student,,likes dogs and dislikes cats,other,capricorn,when drinking,57.14
42,m,straight,average,mostly anything,socially,never,graduated from two-year college,hospitality / travel,has a kid,,other,leo,no,48,f,straight,average,anything,socially,never,in college,hospitality / travel,has a kid,has dogs,other,leo,no,73.33
37,m,straight,athletic,,,never,graduated from college/university,computer / hardware / software,,likes dogs and likes cats,,virgo,sometimes,37,f,straight,fit,anything,socially,,in college,sales / marketing / biz dev,,,other,virgo,,50.0
44,m,straight,thin,strictly anything,socially,,graduated from college/university,computer / hardware / software,,has cats,,leo,,36,f,straight,average,anything,socially,,in college,,,,other,leo,trying to quit,50.0
42,m,straight,athletic,,rarely,never,graduated from college/university,sales / marketing / biz dev,,has dogs,,scorpio and its fun to think about,no,29,f,straight,fit,anything,socially,never,in college,sales / marketing / biz dev,,has dogs,other,scorpio,no,61.54
38,m,straight,fit,anything,socially,never,working on space camp,computer / hardware / software,,likes dogs and likes cats,atheism and laughing about it,aries but it doesn't matter,no,26,f,straight,average,anything,socially,never,graduated college,computer / hardware / software,,likes dogs and likes cats,other,aries,no,66.67
31,m,straight,fit,anything,socially,,graduated from college/university,executive / management,doesn't have kids,,buddhism but not too serious about it,virgo but it doesn't matter,no,31,f,straight,average,anything,socially,never,in college,executive / management,doesn't have kids,likes cats,christian,virgo,no,64.29
21,f,straight,a little extra,anything,socially,sometimes,working on two-year college,student,"doesn't have kids, but might want them",has dogs and likes cats,other and laughing about it,sagittarius and its fun to think about,yes,21,m,straight,curvy,anything,socially,,in college,student,,,other,sagittarius,,46.67
26,f,straight,full figured,,socially,never,graduated from college/university,artistic / musical / writer,,likes dogs and has cats,christianity but not too serious about it,aquarius and its fun to think about,no,26,m,straight,average,anything,socially,never,in college,artistic / musical / writer,,,christian,aquarius,no,64.29
24,f,straight,average,,socially,never,graduated from college/university,,,has dogs,,sagittarius,no,24,m,straight,average,anything,socially,never,in college,education / academia,doesn't have kids,has dogs,other,sagittarius,no,83.33
29,f,straight,athletic,mostly anything,socially,,,sales / marketing / biz dev,,likes dogs,other,taurus and its fun to think about,no,29,m,straight,fit,anything,socially,,in college,sales / marketing / biz dev,,likes dogs,other,taurus,no,76.92
51,m,straight,average,,not at all,never,,transportation,doesn't want kids,has dogs and likes cats,other but not too serious about it,capricorn but it doesn't matter,no,37,f,straight,average,anything,not at all,never,graduated college,construction / craftsmanship,doesn't want kids,has dogs and has cats,other,capricorn,no,57.14
